YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,date,flight_depart_delayed,AIR_SYSTEM_DELAY_pct,SECURITY_DELAY_pct,AIRLINE_DELAY_pct,LATE_AIRCRAFT_DELAY_pct,WEATHER_DELAY_pct
2015,3,21,6,B6,952,N183JB,MCO,BOS,1520,1518.0,-2.0,20.0,1538.0,172.0,172.0,144.0,1121,1802.0,8.0,1812,1810.0,-2.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-03-21,0,0.0,0.0,0.0,0.0,0.0
2015,3,22,7,WN,4074,N649SW,MSP,MCI,1140,1138.0,-2.0,9.0,1147.0,85.0,76.0,64.0,393,1251.0,3.0,1305,1254.0,-11.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-03-22,0,0.0,0.0,0.0,0.0,0.0
2015,3,17,2,WN,4929,N436WN,PHX,SAN,905,912.0,7.0,20.0,932.0,85.0,71.0,47.0,304,1019.0,4.0,1030,1023.0,-7.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-03-17,0,0.0,0.0,0.0,0.0,0.0
2015,2,17,2,AA,1528,N5DVAA,LAS,DFW,1213,1226.0,13.0,14.0,1240.0,157.0,149.0,126.0,1055,1646.0,9.0,1650,1655.0,5.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-02-17,0,0.0,0.0,0.0,0.0,0.0
2015,2,23,1,US,1726,N951UW,PHL,BOS,1445,1452.0,7.0,15.0,1507.0,74.0,66.0,46.0,280,1553.0,5.0,1559,1558.0,-1.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-02-23,0,0.0,0.0,0.0,0.0,0.0
2015,2,22,7,WN,4833,N7745A,ELP,PHX,1920,2001.0,41.0,8.0,2009.0,80.0,72.0,58.0,347,2107.0,6.0,2040,2113.0,33.0,0,0,,0.0,0.0,3.0,30.0,0.0,2015-02-22,1,0.0,0.0,7.32,73.17,0.0
2015,3,8,7,EV,3934,N16918,ORD,HSV,1920,1919.0,-1.0,21.0,1940.0,100.0,99.0,71.0,510,2051.0,7.0,2100,2058.0,-2.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-03-08,0,0.0,0.0,0.0,0.0,0.0
2015,2,19,4,OO,6462,N712SK,LAX,SMF,2035,2042.0,7.0,14.0,2056.0,85.0,85.0,66.0,373,2202.0,5.0,2200,2207.0,7.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-02-19,0,0.0,0.0,0.0,0.0,0.0
2015,3,16,1,WN,1719,N8603F,PHX,DEN,625,625.0,0.0,11.0,636.0,110.0,103.0,87.0,602,903.0,5.0,915,908.0,-7.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-03-16,0,0.0,0.0,0.0,0.0,0.0
2015,2,22,7,DL,1429,N949DL,ORD,ATL,1400,1411.0,11.0,19.0,1430.0,126.0,111.0,84.0,606,1654.0,8.0,1706,1702.0,-4.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-02-22,0,0.0,0.0,0.0,0.0,0.0
2015,2,13,5,MQ,3256,N605MQ,FAR,ORD,1216,1214.0,-2.0,14.0,1228.0,114.0,122.0,77.0,557,1345.0,31.0,1410,1416.0,6.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-02-13,0,0.0,0.0,0.0,0.0,0.0
2015,2,13,5,US,510,N662AW,BOS,PHX,940,943.0,3.0,36.0,1019.0,355.0,339.0,299.0,2300,1318.0,4.0,1335,1322.0,-13.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-02-13,0,0.0,0.0,0.0,0.0,0.0
2015,3,19,4,UA,1568,N38417,SFO,FLL,2256,2310.0,14.0,17.0,2327.0,326.0,319.0,295.0,2583,722.0,7.0,722,729.0,7.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-03-19,0,0.0,0.0,0.0,0.0,0.0
2015,3,5,4,EV,4630,N12530,LFT,IAH,915,905.0,-10.0,12.0,917.0,66.0,73.0,52.0,201,1009.0,9.0,1021,1018.0,-3.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-03-05,0,0.0,0.0,0.0,0.0,0.0
2015,2,23,1,UA,195,N57852,IAH,LAS,901,906.0,5.0,16.0,922.0,208.0,216.0,189.0,1222,1031.0,11.0,1029,1042.0,13.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-02-23,0,0.0,0.0,0.0,0.0,0.0
