YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,date,flight_depart_delayed,AIR_SYSTEM_DELAY_pct,SECURITY_DELAY_pct,AIRLINE_DELAY_pct,LATE_AIRCRAFT_DELAY_pct,WEATHER_DELAY_pct
2015,8,20,4,WN,1569,N490WN,RDU,DEN,1505,1727.0,142.0,14.0,1741.0,225.0,220.0,200.0,1436,1901.0,6.0,1650,1907.0,137.0,0,0,,0.0,0.0,0.0,137.0,0.0,2015-08-20,1,0.0,0.0,0.0,96.48,0.0
2015,8,13,4,WN,1940,N7708E,LAS,AUS,730,728.0,-2.0,19.0,747.0,160.0,169.0,145.0,1090,1212.0,5.0,1210,1217.0,7.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-13,0,0.0,0.0,0.0,0.0,0.0
2015,8,26,3,EV,4241,N11184,DCA,EWR,825,817.0,-8.0,13.0,830.0,66.0,60.0,34.0,199,904.0,13.0,931,917.0,-14.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-26,0,0.0,0.0,0.0,0.0,0.0
2015,8,13,4,DL,1588,N930DL,MYR,ATL,655,652.0,-3.0,11.0,703.0,77.0,68.0,52.0,317,755.0,5.0,812,800.0,-12.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-13,0,0.0,0.0,0.0,0.0,0.0
2015,8,21,5,UA,1753,N34222,BOS,ORD,1312,1802.0,290.0,24.0,1826.0,165.0,163.0,126.0,867,1932.0,13.0,1457,1945.0,288.0,0,0,,0.0,0.0,288.0,0.0,0.0,2015-08-21,1,0.0,0.0,99.31,0.0,0.0
2015,7,24,5,UA,1252,N38458,SFO,MCO,947,946.0,-1.0,18.0,1004.0,329.0,310.0,286.0,2446,1750.0,6.0,1816,1756.0,-20.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-07-24,0,0.0,0.0,0.0,0.0,0.0
2015,8,25,2,EV,4395,N14904,EWR,IND,635,629.0,-6.0,18.0,647.0,131.0,130.0,103.0,645,830.0,9.0,846,839.0,-7.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-25,0,0.0,0.0,0.0,0.0,0.0
2015,8,26,3,AA,2127,N816AW,BOS,DCA,700,653.0,-7.0,12.0,705.0,90.0,94.0,66.0,399,811.0,16.0,830,827.0,-3.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-26,0,0.0,0.0,0.0,0.0,0.0
2015,8,12,3,MQ,3188,N512MQ,CLE,ORD,1843,2102.0,139.0,13.0,2115.0,91.0,82.0,52.0,315,2107.0,17.0,1914,2124.0,130.0,0,0,,0.0,0.0,0.0,130.0,0.0,2015-08-12,1,0.0,0.0,0.0,93.53,0.0
2015,8,22,6,MQ,3512,N1EAMQ,DFW,ASE,1035,1030.0,-5.0,15.0,1045.0,133.0,123.0,105.0,701,1130.0,3.0,1148,1133.0,-15.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-22,0,0.0,0.0,0.0,0.0,0.0
2015,8,13,4,EV,4708,N14993,IAH,CRP,1250,1248.0,-2.0,16.0,1304.0,59.0,56.0,35.0,201,1339.0,5.0,1349,1344.0,-5.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-13,0,0.0,0.0,0.0,0.0,0.0
2015,8,9,7,AA,2478,N466AA,DFW,SMF,1710,1709.0,-1.0,15.0,1724.0,225.0,209.0,188.0,1431,1832.0,6.0,1855,1838.0,-17.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-09,0,0.0,0.0,0.0,0.0,0.0
2015,7,26,7,WN,611,N8655D,LAS,AUS,2000,2039.0,39.0,9.0,2048.0,160.0,153.0,138.0,1090,106.0,6.0,40,112.0,32.0,0,0,,0.0,0.0,2.0,30.0,0.0,2015-07-26,1,0.0,0.0,5.13,76.92,0.0
2015,8,18,2,UA,1474,N13248,ORD,DCA,1802,1805.0,3.0,42.0,1847.0,120.0,137.0,91.0,612,2118.0,4.0,2102,2122.0,20.0,0,0,,20.0,0.0,0.0,0.0,0.0,2015-08-18,0,666.67,0.0,0.0,0.0,0.0
2015,8,7,5,AA,307,N3MLAA,LGA,ORD,659,708.0,9.0,26.0,734.0,151.0,144.0,105.0,733,819.0,13.0,830,832.0,2.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-07,0,0.0,0.0,0.0,0.0,0.0
2015,7,28,2,OO,2874,N863AS,LAX,SMF,2115,2113.0,-2.0,11.0,2124.0,90.0,79.0,62.0,373,2226.0,6.0,2245,2232.0,-13.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-07-28,0,0.0,0.0,0.0,0.0,0.0
2015,8,30,7,DL,1328,N958AT,VPS,ATL,1559,1605.0,6.0,8.0,1613.0,82.0,61.0,41.0,250,1754.0,12.0,1821,1806.0,-15.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-30,0,0.0,0.0,0.0,0.0,0.0
2015,7,25,6,DL,1635,N983AT,FLL,JFK,725,720.0,-5.0,12.0,732.0,170.0,161.0,140.0,1069,952.0,9.0,1015,1001.0,-14.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-07-25,0,0.0,0.0,0.0,0.0,0.0
2015,7,30,4,DL,1195,N354NW,ATL,IAD,1459,1457.0,-2.0,18.0,1515.0,120.0,108.0,87.0,534,1642.0,3.0,1659,1645.0,-14.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-07-30,0,0.0,0.0,0.0,0.0,0.0
2015,8,18,2,WN,3048,N511SW,AMA,DAL,600,556.0,-4.0,9.0,605.0,65.0,67.0,52.0,323,657.0,6.0,705,703.0,-2.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-18,0,0.0,0.0,0.0,0.0,0.0
2015,8,19,3,DL,1657,N581NW,ATL,FLL,2045,2105.0,20.0,23.0,2128.0,111.0,109.0,83.0,581,2251.0,3.0,2236,2254.0,18.0,0,0,,0.0,0.0,0.0,0.0,18.0,2015-08-19,1,0.0,0.0,0.0,0.0,90.0
2015,8,16,7,B6,1169,N358JB,RIC,MCO,825,823.0,-2.0,10.0,833.0,117.0,120.0,94.0,667,1007.0,16.0,1022,1023.0,1.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-16,0,0.0,0.0,0.0,0.0,0.0
2015,8,9,7,WN,2092,N720WN,LGA,BNA,1130,1123.0,-7.0,16.0,1139.0,155.0,130.0,108.0,764,1227.0,6.0,1305,1233.0,-32.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-09,0,0.0,0.0,0.0,0.0,0.0
2015,8,5,3,MQ,3459,N809MQ,DFW,SPS,930,923.0,-7.0,16.0,939.0,52.0,49.0,28.0,113,1007.0,5.0,1022,1012.0,-10.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-05,0,0.0,0.0,0.0,0.0,0.0
2015,8,18,2,DL,921,N591NW,MKE,MSP,920,918.0,-2.0,12.0,930.0,75.0,76.0,57.0,297,1027.0,7.0,1035,1034.0,-1.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-18,0,0.0,0.0,0.0,0.0,0.0
2015,8,8,6,EV,3262,N14902,IAH,ATL,715,712.0,-3.0,14.0,726.0,135.0,121.0,98.0,689,1004.0,9.0,1030,1013.0,-17.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-08,0,0.0,0.0,0.0,0.0,0.0
2015,8,11,2,MQ,3496,N923MQ,ORD,CMH,1150,1146.0,-4.0,14.0,1200.0,86.0,75.0,48.0,296,1348.0,13.0,1416,1401.0,-15.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-11,0,0.0,0.0,0.0,0.0,0.0
2015,8,5,3,B6,844,N266JB,CHS,DCA,1331,1317.0,-14.0,11.0,1328.0,86.0,74.0,60.0,444,1428.0,3.0,1457,1431.0,-26.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-05,0,0.0,0.0,0.0,0.0,0.0
2015,7,29,3,EV,6011,N14923,ABE,ORD,1154,1146.0,-8.0,9.0,1155.0,124.0,114.0,96.0,654,1231.0,9.0,1258,1240.0,-18.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-07-29,0,0.0,0.0,0.0,0.0,0.0
2015,8,14,5,EV,4209,N12528,BTR,IAH,525,523.0,-2.0,13.0,536.0,66.0,63.0,46.0,253,622.0,4.0,631,626.0,-5.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-14,0,0.0,0.0,0.0,0.0,0.0
2015,8,25,2,AA,1107,N3CYAA,LGA,DFW,620,619.0,-1.0,12.0,631.0,227.0,210.0,187.0,1389,838.0,11.0,907,849.0,-18.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-25,0,0.0,0.0,0.0,0.0,0.0
2015,7,22,3,AA,596,N655AW,PHX,MCI,1855,1848.0,-7.0,21.0,1909.0,156.0,152.0,124.0,1044,2313.0,7.0,2331,2320.0,-11.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-07-22,0,0.0,0.0,0.0,0.0,0.0
2015,8,5,3,MQ,3241,N647MQ,ORD,MLI,1656,1657.0,1.0,27.0,1724.0,65.0,59.0,28.0,139,1752.0,4.0,1801,1756.0,-5.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-05,0,0.0,0.0,0.0,0.0,0.0
2015,8,16,7,AA,416,N820AW,RNO,PHX,930,924.0,-6.0,13.0,937.0,102.0,99.0,83.0,601,1100.0,3.0,1112,1103.0,-9.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-16,0,0.0,0.0,0.0,0.0,0.0
2015,8,26,3,UA,1669,N38417,SFO,ORD,1330,1328.0,-2.0,28.0,1356.0,261.0,256.0,213.0,1846,1929.0,15.0,1951,1944.0,-7.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-26,0,0.0,0.0,0.0,0.0,0.0
2015,7,26,7,OO,5585,N795SK,SFO,OKC,1041,1037.0,-4.0,25.0,1102.0,204.0,202.0,171.0,1384,1553.0,6.0,1605,1559.0,-6.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-07-26,0,0.0,0.0,0.0,0.0,0.0
2015,8,26,3,F9,1287,N229FR,ORD,DEN,1530,1530.0,0.0,22.0,1552.0,160.0,159.0,132.0,888,1704.0,5.0,1710,1709.0,-1.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-26,0,0.0,0.0,0.0,0.0,0.0
2015,8,8,6,UA,371,N825UA,PHL,IAH,1113,1109.0,-4.0,14.0,1123.0,206.0,194.0,168.0,1325,1311.0,12.0,1339,1323.0,-16.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-08,0,0.0,0.0,0.0,0.0,0.0
2015,7,26,7,EV,4363,N14158,IAH,ELP,2113,2110.0,-3.0,13.0,2123.0,111.0,103.0,87.0,667,2150.0,3.0,2204,2153.0,-11.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-07-26,0,0.0,0.0,0.0,0.0,0.0
2015,8,15,6,AA,2066,N746UW,CLT,LGA,1305,1405.0,60.0,12.0,1417.0,107.0,139.0,120.0,544,1617.0,7.0,1452,1624.0,92.0,0,0,,32.0,0.0,0.0,60.0,0.0,2015-08-15,1,53.33,0.0,0.0,100.0,0.0
2015,8,2,7,WN,4721,N8658A,BOS,BWI,645,956.0,191.0,22.0,1018.0,95.0,83.0,58.0,369,1116.0,3.0,820,1119.0,179.0,0,0,,0.0,0.0,179.0,0.0,0.0,2015-08-02,1,0.0,0.0,93.72,0.0,0.0
2015,8,11,2,AA,778,N656AW,IAH,PHX,805,802.0,-3.0,19.0,821.0,176.0,170.0,129.0,1009,830.0,22.0,901,852.0,-9.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-11,0,0.0,0.0,0.0,0.0,0.0
2015,7,29,3,DL,2526,N808DN,BZN,SLC,625,616.0,-9.0,22.0,638.0,70.0,81.0,49.0,347,727.0,10.0,735,737.0,2.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-07-29,0,0.0,0.0,0.0,0.0,0.0
2015,8,10,1,OO,5427,N507CA,SFO,RDD,1426,1414.0,-12.0,16.0,1430.0,64.0,63.0,43.0,199,1513.0,4.0,1530,1517.0,-13.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-10,0,0.0,0.0,0.0,0.0,0.0
2015,8,1,6,WN,2024,N356SW,SEA,LAS,1645,1646.0,1.0,15.0,1701.0,150.0,146.0,125.0,867,1906.0,6.0,1915,1912.0,-3.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-01,0,0.0,0.0,0.0,0.0,0.0
2015,8,14,5,EV,5342,N842AS,ATL,EVV,1648,1644.0,-4.0,20.0,1704.0,82.0,83.0,59.0,350,1703.0,4.0,1710,1707.0,-3.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-14,0,0.0,0.0,0.0,0.0,0.0
2015,8,18,2,OO,6260,N719SK,JAC,SFO,700,657.0,-3.0,24.0,721.0,146.0,141.0,110.0,737,811.0,7.0,826,818.0,-8.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-18,0,0.0,0.0,0.0,0.0,0.0
2015,7,24,5,OO,6534,N962SW,DEN,IDA,1106,1110.0,4.0,14.0,1124.0,97.0,94.0,75.0,458,1239.0,5.0,1243,1244.0,1.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-07-24,0,0.0,0.0,0.0,0.0,0.0
2015,8,16,7,EV,4888,N695CA,IAH,MSP,745,743.0,-2.0,16.0,759.0,170.0,160.0,138.0,1034,1017.0,6.0,1035,1023.0,-12.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-16,0,0.0,0.0,0.0,0.0,0.0
2015,8,13,4,B6,308,N324JB,JFK,PWM,1329,1320.0,-9.0,16.0,1336.0,81.0,63.0,45.0,273,1421.0,2.0,1450,1423.0,-27.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-13,0,0.0,0.0,0.0,0.0,0.0
2015,8,13,4,UA,577,N411UA,IAH,EWR,1250,1325.0,35.0,14.0,1339.0,234.0,206.0,183.0,1400,1742.0,9.0,1744,1751.0,7.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-13,1,0.0,0.0,0.0,0.0,0.0
2015,8,8,6,WN,156,N8329B,HOU,LAS,1425,1425.0,0.0,7.0,1432.0,185.0,175.0,162.0,1235,1514.0,6.0,1530,1520.0,-10.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-08,0,0.0,0.0,0.0,0.0,0.0
2015,7,28,2,AA,2330,N4YPAA,DFW,ORD,1905,1919.0,14.0,9.0,1928.0,156.0,124.0,107.0,802,2115.0,8.0,2141,2123.0,-18.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-07-28,0,0.0,0.0,0.0,0.0,0.0
2015,7,30,4,WN,4123,N8659D,MCO,DEN,1750,1757.0,7.0,18.0,1815.0,240.0,226.0,203.0,1546,1938.0,5.0,1950,1943.0,-7.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-07-30,0,0.0,0.0,0.0,0.0,0.0
2015,8,25,2,AA,186,N3JLAA,ORD,BOS,1155,1150.0,-5.0,12.0,1202.0,147.0,122.0,105.0,867,1447.0,5.0,1522,1452.0,-30.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-25,0,0.0,0.0,0.0,0.0,0.0
2015,8,22,6,DL,1344,N905DL,MCI,DTW,800,804.0,4.0,14.0,818.0,114.0,116.0,96.0,629,1054.0,6.0,1054,1100.0,6.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-22,0,0.0,0.0,0.0,0.0,0.0
2015,8,8,6,DL,2826,N325US,SLC,LAS,1123,1117.0,-6.0,14.0,1131.0,79.0,79.0,56.0,368,1127.0,9.0,1142,1136.0,-6.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-08,0,0.0,0.0,0.0,0.0,0.0
2015,8,13,4,OO,5315,N918SW,DEN,JMS,1000,955.0,-5.0,33.0,1028.0,110.0,118.0,80.0,573,1248.0,5.0,1250,1253.0,3.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-13,0,0.0,0.0,0.0,0.0,0.0
2015,8,9,7,OO,6531,N705SK,SAT,LAX,1237,1247.0,10.0,18.0,1305.0,196.0,186.0,155.0,1211,1340.0,13.0,1353,1353.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-09,0,0.0,0.0,0.0,0.0,0.0
2015,7,31,5,DL,2524,N362NW,SLC,GEG,1131,1136.0,5.0,10.0,1146.0,98.0,89.0,75.0,546,1201.0,4.0,1209,1205.0,-4.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-07-31,0,0.0,0.0,0.0,0.0,0.0
2015,8,11,2,AA,1853,N114UW,CLT,RSW,955,953.0,-2.0,37.0,1030.0,120.0,121.0,81.0,600,1151.0,3.0,1155,1154.0,-1.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-11,0,0.0,0.0,0.0,0.0,0.0
2015,8,22,6,AA,1937,N176UW,CLT,BOS,1130,1132.0,2.0,24.0,1156.0,131.0,130.0,98.0,728,1334.0,8.0,1341,1342.0,1.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-22,0,0.0,0.0,0.0,0.0,0.0
2015,8,17,1,EV,5058,N538CA,MSP,CLE,1912,1911.0,-1.0,19.0,1930.0,111.0,106.0,80.0,622,2150.0,7.0,2203,2157.0,-6.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-17,0,0.0,0.0,0.0,0.0,0.0
2015,8,14,5,HA,342,N485HA,HNL,ITO,806,758.0,-8.0,11.0,809.0,50.0,56.0,39.0,216,848.0,6.0,856,854.0,-2.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-14,0,0.0,0.0,0.0,0.0,0.0
2015,8,24,1,B6,162,N537JB,SMF,JFK,2240,2318.0,38.0,11.0,2329.0,320.0,312.0,296.0,2521,725.0,5.0,700,730.0,30.0,0,0,,0.0,0.0,0.0,30.0,0.0,2015-08-24,1,0.0,0.0,0.0,78.95,0.0
2015,8,7,5,WN,701,N752SW,BWI,IND,2215,2235.0,20.0,15.0,2250.0,100.0,98.0,76.0,516,6.0,7.0,2355,13.0,18.0,0,0,,0.0,0.0,0.0,18.0,0.0,2015-08-07,1,0.0,0.0,0.0,90.0,0.0
2015,8,13,4,AA,2214,N469AA,DFW,ABQ,905,858.0,-7.0,14.0,912.0,114.0,99.0,78.0,569,930.0,7.0,959,937.0,-22.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-13,0,0.0,0.0,0.0,0.0,0.0
2015,8,21,5,WN,384,N285WN,SAT,ELP,625,620.0,-5.0,11.0,631.0,90.0,90.0,69.0,496,640.0,10.0,655,650.0,-5.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-21,0,0.0,0.0,0.0,0.0,0.0
2015,8,10,1,HA,529,N480HA,OGG,HNL,1256,1253.0,-3.0,9.0,1302.0,36.0,38.0,21.0,100,1323.0,8.0,1332,1331.0,-1.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-10,0,0.0,0.0,0.0,0.0,0.0
2015,8,27,4,DL,2329,N803DN,SEA,ANC,1735,1733.0,-2.0,18.0,1751.0,207.0,222.0,200.0,1448,2011.0,4.0,2002,2015.0,13.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-27,0,0.0,0.0,0.0,0.0,0.0
2015,8,4,2,MQ,3321,N691MQ,DFW,ROW,1520,1519.0,-1.0,10.0,1529.0,95.0,78.0,66.0,435,1535.0,2.0,1555,1537.0,-18.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-04,0,0.0,0.0,0.0,0.0,0.0
2015,8,24,1,WN,581,N767SW,DEN,STL,820,818.0,-2.0,14.0,832.0,115.0,109.0,91.0,770,1103.0,4.0,1115,1107.0,-8.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-24,0,0.0,0.0,0.0,0.0,0.0
2015,8,6,4,AA,111,N3GXAA,ORD,LAX,1710,1712.0,2.0,22.0,1734.0,284.0,276.0,249.0,1744,1943.0,5.0,1954,1948.0,-6.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-06,0,0.0,0.0,0.0,0.0,0.0
2015,7,31,5,DL,2504,N959DL,ATL,HSV,1926,2126.0,120.0,21.0,2147.0,63.0,59.0,31.0,151,2118.0,7.0,1929,2125.0,116.0,0,0,,116.0,0.0,0.0,0.0,0.0,2015-07-31,1,96.67,0.0,0.0,0.0,0.0
2015,7,31,5,NK,500,N523NK,IAH,ORD,1839,1834.0,-5.0,10.0,1844.0,156.0,149.0,124.0,925,2048.0,15.0,2115,2103.0,-12.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-07-31,0,0.0,0.0,0.0,0.0,0.0
2015,8,27,4,WN,1265,N8309C,FLL,DAL,1730,1930.0,120.0,9.0,1939.0,190.0,160.0,146.0,1108,2105.0,5.0,1940,2110.0,90.0,0,0,,0.0,0.0,90.0,0.0,0.0,2015-08-27,1,0.0,0.0,75.0,0.0,0.0
2015,7,24,5,EV,4277,N10575,IAH,ICT,1250,1245.0,-5.0,11.0,1256.0,108.0,114.0,80.0,542,1416.0,23.0,1438,1439.0,1.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-07-24,0,0.0,0.0,0.0,0.0,0.0
2015,8,19,3,WN,1564,N797MX,MDW,IAD,1400,1359.0,-1.0,27.0,1426.0,110.0,115.0,84.0,577,1650.0,4.0,1650,1654.0,4.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-19,0,0.0,0.0,0.0,0.0,0.0
2015,7,24,5,UA,1588,N69847,ORD,PDX,913,914.0,1.0,28.0,942.0,264.0,267.0,235.0,1739,1137.0,4.0,1137,1141.0,4.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-07-24,0,0.0,0.0,0.0,0.0,0.0
2015,8,4,2,OO,4778,N603QX,GEG,SEA,1630,1624.0,-6.0,13.0,1637.0,64.0,69.0,43.0,224,1720.0,13.0,1734,1733.0,-1.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-04,0,0.0,0.0,0.0,0.0,0.0
2015,7,23,4,AA,1133,N3ADAA,MIA,LGA,705,703.0,-2.0,23.0,726.0,177.0,180.0,149.0,1096,955.0,8.0,1002,1003.0,1.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-07-23,0,0.0,0.0,0.0,0.0,0.0
2015,7,26,7,EV,4684,N13969,PNS,IAH,1852,1842.0,-10.0,12.0,1854.0,97.0,94.0,74.0,489,2008.0,8.0,2029,2016.0,-13.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-07-26,0,0.0,0.0,0.0,0.0,0.0
2015,8,18,2,MQ,3581,N8EGMQ,RDU,LGA,1248,1242.0,-6.0,26.0,1308.0,102.0,120.0,71.0,431,1419.0,23.0,1430,1442.0,12.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-18,0,0.0,0.0,0.0,0.0,0.0
2015,8,20,4,EV,4869,N937EV,TRI,ATL,1806,1755.0,-11.0,12.0,1807.0,67.0,69.0,43.0,227,1850.0,14.0,1913,1904.0,-9.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-20,0,0.0,0.0,0.0,0.0,0.0
2015,8,4,2,WN,622,N776WN,SNA,SJC,1335,1345.0,10.0,9.0,1354.0,70.0,67.0,54.0,342,1448.0,4.0,1445,1452.0,7.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-08-04,0,0.0,0.0,0.0,0.0,0.0
2015,8,19,3,DL,1756,N909DA,ATL,MLB,2116,2135.0,19.0,23.0,2158.0,94.0,91.0,63.0,442,2301.0,5.0,2250,2306.0,16.0,0,0,,0.0,0.0,0.0,0.0,16.0,2015-08-19,1,0.0,0.0,0.0,0.0,84.21
